,odor,exp,f1_score
0,4,A60Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.3179761904761905
1,4,A60R1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.26612276612276614
2,4,A62-1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.3544805194805195
3,4,A62Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.22636363636363638
4,4,A88R1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.23703407703407703
5,4,A89Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.5014901764901765
6,6,A60Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.18134920634920637
7,6,A60R1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.42727661227661223
8,6,A62-1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.24624542124542126
9,6,A62Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.06984848484848485
10,6,A88R1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.3472816072816073
11,6,A89Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.4204401154401155
12,7,A60Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.12303030303030302
13,7,A60R1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.3068542568542568
14,7,A62-1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.3733244206773619
15,7,A62Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.29382783882783886
16,7,A88R1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.4101587301587302
17,7,A89Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.3437518037518038
18,8,A60Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.174486346986347
19,8,A60R1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.6113675213675214
20,8,A62-1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.31550671550671555
21,8,A62Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.22217171717171716
22,8,A88R1_tracesfeature_odorbfcondition_2SECAFODORONSET,0.30898989898989904
23,8,A89Nt_tracesfeature_odorbfcondition_2SECAFODORONSET,0.5144391392920805
