,odor,exp,f1_score
0,4,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.3730505279034691
1,4,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.40979997127055945
2,4,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.3156060606060606
3,4,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.2820940170940171
4,4,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.11444444444444446
5,4,121923_tracesfeature_10odorset_3SECAFODORONSET,0.6106510156510156
6,6,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.1954761904761905
7,6,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.48554778554778555
8,6,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.3296969696969697
9,6,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.1000445632798574
10,6,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.4265601065601066
11,6,121923_tracesfeature_10odorset_3SECAFODORONSET,0.5138888888888888
12,7,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.14604617604617603
13,7,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.37051587301587297
14,7,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.31054664289958406
15,7,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.34476190476190477
16,7,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.35230158730158734
17,7,121923_tracesfeature_10odorset_3SECAFODORONSET,0.4280735930735931
18,8,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.21420357420357422
19,8,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.6356637806637806
20,8,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.2904856254856255
21,8,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.2713492063492064
22,8,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.36747419247419244
23,8,121923_tracesfeature_10odorset_3SECAFODORONSET,0.522566175654411
