animal,comp,accuracy
A60Nt,"2-ME
Eugenol",0.41
A60Nt,"2-ME
IPA",0.5900000000000001
A60Nt,"2-ME
MSC",0.48
A60Nt,"Eugenol
IPA",0.5
A60Nt,"Eugenol
MSC",0.43
A60Nt,"MSC
IPA",0.48
A60R1,"2-ME
Eugenol",0.63
A60R1,"2-ME
IPA",0.64
A60R1,"2-ME
MSC",0.67
A60R1,"Eugenol
IPA",0.6599999999999999
A60R1,"Eugenol
MSC",0.73
A60R1,"MSC
IPA",0.6900000000000001
A62-1,"2-ME
Eugenol",0.5700000000000001
A62-1,"2-ME
IPA",0.49000000000000005
A62-1,"2-ME
MSC",0.63
A62-1,"Eugenol
IPA",0.52
A62-1,"Eugenol
MSC",0.5700000000000001
A62-1,"MSC
IPA",0.41
A62Nt,"2-ME
Eugenol",0.5
A62Nt,"2-ME
IPA",0.7
A62Nt,"2-ME
MSC",0.38
A62Nt,"Eugenol
IPA",0.55
A62Nt,"Eugenol
MSC",0.41
A62Nt,"MSC
IPA",0.67
A88R1,"2-ME
Eugenol",0.9400000000000001
A88R1,"2-ME
IPA",0.6399999999999999
A88R1,"2-ME
MSC",0.8800000000000001
A88R1,"Eugenol
IPA",0.89
A88R1,"Eugenol
MSC",0.7
A88R1,"MSC
IPA",0.95
A89Nt,"2-ME
Eugenol",0.77
A89Nt,"2-ME
IPA",0.67
A89Nt,"2-ME
MSC",0.74
A89Nt,"Eugenol
IPA",0.71
A89Nt,"Eugenol
MSC",0.53
A89Nt,"MSC
IPA",0.79
