animal,comp,condition,accuracy
A60Nt,"2-ME
BA",bf,0.65
A60Nt,"2-ME
Cadverine",bf,0.45
A60Nt,"2-ME
IPA",bf,0.5900000000000001
A60Nt,"BA
Cadverine",bf,0.7
A60Nt,"BA
IPA",bf,0.71
A60Nt,"Cadverine
IPA",bf,0.47000000000000003
A60R1,"2-ME
BA",bf,0.52
A60R1,"2-ME
Cadverine",bf,0.7
A60R1,"2-ME
IPA",bf,0.64
A60R1,"BA
Cadverine",bf,0.6900000000000001
A60R1,"BA
IPA",bf,0.52
A60R1,"Cadverine
IPA",bf,0.6799999999999999
A62-1,"2-ME
BA",bf,0.49000000000000005
A62-1,"2-ME
Cadverine",bf,0.63
A62-1,"2-ME
IPA",bf,0.49000000000000005
A62-1,"BA
Cadverine",bf,0.62
A62-1,"BA
IPA",bf,0.42000000000000004
A62-1,"Cadverine
IPA",bf,0.63
A62Nt,"2-ME
BA",bf,0.69
A62Nt,"2-ME
Cadverine",bf,0.6599999999999999
A62Nt,"2-ME
IPA",bf,0.7
A62Nt,"BA
Cadverine",bf,0.62
A62Nt,"BA
IPA",bf,0.8300000000000001
A62Nt,"Cadverine
IPA",bf,0.63
A88R1,"2-ME
BA",bf,0.74
A88R1,"2-ME
Cadverine",bf,0.82
A88R1,"2-ME
IPA",bf,0.6399999999999999
A88R1,"BA
Cadverine",bf,0.45
A88R1,"BA
IPA",bf,0.67
A88R1,"Cadverine
IPA",bf,0.8099999999999999
A89Nt,"2-ME
BA",bf,0.8099999999999999
A89Nt,"2-ME
Cadverine",bf,0.64
A89Nt,"2-ME
IPA",bf,0.67
A89Nt,"BA
Cadverine",bf,0.6599999999999999
A89Nt,"BA
IPA",bf,0.82
A89Nt,"Cadverine
IPA",bf,0.61
