animal,comp,accuracy
A60Nt,"2-ME
BA",0.65
A60Nt,"2-ME
Cadverine",0.45
A60Nt,"2-ME
IPA",0.5900000000000001
A60Nt,"BA
Cadverine",0.7
A60Nt,"BA
IPA",0.71
A60Nt,"Cadverine
IPA",0.47000000000000003
A60R1,"2-ME
BA",0.52
A60R1,"2-ME
Cadverine",0.7
A60R1,"2-ME
IPA",0.64
A60R1,"BA
Cadverine",0.6900000000000001
A60R1,"BA
IPA",0.52
A60R1,"Cadverine
IPA",0.6799999999999999
A62-1,"2-ME
BA",0.49000000000000005
A62-1,"2-ME
Cadverine",0.63
A62-1,"2-ME
IPA",0.49000000000000005
A62-1,"BA
Cadverine",0.62
A62-1,"BA
IPA",0.42000000000000004
A62-1,"Cadverine
IPA",0.63
A62Nt,"2-ME
BA",0.69
A62Nt,"2-ME
Cadverine",0.6599999999999999
A62Nt,"2-ME
IPA",0.7
A62Nt,"BA
Cadverine",0.62
A62Nt,"BA
IPA",0.8300000000000001
A62Nt,"Cadverine
IPA",0.63
A88R1,"2-ME
BA",0.74
A88R1,"2-ME
Cadverine",0.82
A88R1,"2-ME
IPA",0.6399999999999999
A88R1,"BA
Cadverine",0.45
A88R1,"BA
IPA",0.67
A88R1,"Cadverine
IPA",0.8099999999999999
A89Nt,"2-ME
BA",0.8099999999999999
A89Nt,"2-ME
Cadverine",0.64
A89Nt,"2-ME
IPA",0.67
A89Nt,"BA
Cadverine",0.6599999999999999
A89Nt,"BA
IPA",0.82
A89Nt,"Cadverine
IPA",0.61
