,odor,exp,f1_score
0,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.6836163836163835
1,2,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.7509851259851259
2,2,080324_A137Nt_tracesfeature_odorafcondition_3SECAFODORONSET_1,0.7733333333333332
3,2,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.8493939393939394
4,2,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.8042640692640692
5,2,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.5965201465201465
6,2,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.3557042957042957
7,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.7967094017094017
8,3,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.673051948051948
9,3,080324_A137Nt_tracesfeature_odorafcondition_3SECAFODORONSET_1,0.7188367188367188
10,3,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.7882506382506382
11,3,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.6668181818181818
12,3,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.4427777777777777
13,3,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.5075757575757576
14,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.528015873015873
15,4,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.38614718614718613
16,4,080324_A137Nt_tracesfeature_odorafcondition_3SECAFODORONSET_1,0.6169064269064269
17,4,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.4309496059496059
18,4,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.5235930735930736
19,4,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.27172383172383174
20,4,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.5228205128205128
21,5,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.5445687645687646
22,5,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.4093883893883894
23,5,080324_A137Nt_tracesfeature_odorafcondition_3SECAFODORONSET_1,0.5302020202020202
24,5,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.3434343434343434
25,5,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.4793650793650793
26,5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.6343356643356642
27,5,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.4119114219114219
