animal,comp,condition,accuracy
A150Nt,"Butanol
Heptanol",bf,0.5700000000000001
A150Nt,"Butanol
Hexanol",bf,0.63
A150Nt,"Butanol
Octanol",bf,0.48
A150Nt,"Butanol
Pentanol",bf,0.67
A150Nt,"Heptanol
Octanol",bf,0.49000000000000005
A150Nt,"Hexanol
Heptanol",bf,0.52
A150Nt,"Hexanol
Octanol",bf,0.44000000000000006
A150Nt,"Pentanol
Heptanol",bf,0.63
A150Nt,"Pentanol
Hexanol",bf,0.69
A150Nt,"Pentanol
Octanol",bf,0.58
A150R1,"Butanol
Heptanol",bf,0.43
A150R1,"Butanol
Hexanol",bf,0.69
A150R1,"Butanol
Octanol",bf,0.65
A150R1,"Butanol
Pentanol",bf,0.61
A150R1,"Heptanol
Octanol",bf,0.53
A150R1,"Hexanol
Heptanol",bf,0.5599999999999999
A150R1,"Hexanol
Octanol",bf,0.65
A150R1,"Pentanol
Heptanol",bf,0.5399999999999999
A150R1,"Pentanol
Hexanol",bf,0.63
A150R1,"Pentanol
Octanol",bf,0.73
A155R1,"Butanol
Heptanol",bf,0.63
A155R1,"Butanol
Hexanol",bf,0.65
A155R1,"Butanol
Octanol",bf,0.49000000000000005
A155R1,"Butanol
Pentanol",bf,0.45
A155R1,"Heptanol
Octanol",bf,0.49000000000000005
A155R1,"Hexanol
Heptanol",bf,0.53
A155R1,"Hexanol
Octanol",bf,0.52
A155R1,"Pentanol
Heptanol",bf,0.58
A155R1,"Pentanol
Hexanol",bf,0.62
A155R1,"Pentanol
Octanol",bf,0.52
A156Nt,"Butanol
Heptanol",af,0.61
A156Nt,"Butanol
Heptanol",bf,0.5
A156Nt,"Butanol
Hexanol",af,0.7
A156Nt,"Butanol
Hexanol",bf,0.5
A156Nt,"Butanol
Octanol",af,0.61
A156Nt,"Butanol
Octanol",bf,0.6
A156Nt,"Butanol
Pentanol",af,0.54
A156Nt,"Butanol
Pentanol",bf,0.57
A156Nt,"Heptanol
Octanol",af,0.58
A156Nt,"Heptanol
Octanol",bf,0.51
A156Nt,"Hexanol
Heptanol",af,0.8400000000000001
A156Nt,"Hexanol
Heptanol",bf,0.58
A156Nt,"Hexanol
Octanol",af,0.73
A156Nt,"Hexanol
Octanol",bf,0.5599999999999999
A156Nt,"Pentanol
Heptanol",af,0.52
A156Nt,"Pentanol
Heptanol",bf,0.58
A156Nt,"Pentanol
Hexanol",af,0.8699999999999999
A156Nt,"Pentanol
Hexanol",bf,0.4
A156Nt,"Pentanol
Octanol",af,0.6599999999999999
A156Nt,"Pentanol
Octanol",bf,0.41
