,odor,exp,f1_score
0,7,020923_A60Nt_feature_10odorset_2,0.32717171717171717
1,7,020923_A60R1_feature_10odorset_2,0.23115079365079366
2,7,020923_A62-1_feature_10odorset_2,0.15595238095238095
3,7,020923_A62Nt_feature_10odorset_2,0.2658080808080808
4,8,020923_A60Nt_feature_10odorset_2,0.19175324675324676
5,8,020923_A60R1_feature_10odorset_2,0.30143079143079143
6,8,020923_A62-1_feature_10odorset_2,0.2149106449106449
7,8,020923_A62Nt_feature_10odorset_2,0.19065656565656566
8,9,020923_A60Nt_feature_10odorset_2,0.36803751803751805
9,9,020923_A60R1_feature_10odorset_2,0.2834432234432235
10,9,020923_A62-1_feature_10odorset_2,0.2766017316017316
11,9,020923_A62Nt_feature_10odorset_2,0.14474469974469975
12,11,020923_A60Nt_feature_10odorset_2,0.3263869463869464
13,11,020923_A60R1_feature_10odorset_2,0.4185714285714286
14,11,020923_A62-1_feature_10odorset_2,0.196646294881589
15,11,020923_A62Nt_feature_10odorset_2,0.422488344988345
16,12,020923_A60Nt_feature_10odorset_2,0.3553479853479854
17,12,020923_A60R1_feature_10odorset_2,0.4068154068154068
18,12,020923_A62-1_feature_10odorset_2,0.17005494505494506
19,12,020923_A62Nt_feature_10odorset_2,0.2744300144300144
