,odor,exp,f1_score
0,2,020923_A60Nt_feature_10odorset,0.4938600288600289
1,2,020923_A60R1_feature_10odorset,0.15111111111111114
2,2,020923_A62-1_feature_10odorset,0.3861926961926962
3,2,020923_A62Nt_feature_10odorset,0.22912698412698412
4,3,020923_A60Nt_feature_10odorset,0.39538184038184043
5,3,020923_A60R1_feature_10odorset,0.09222222222222223
6,3,020923_A62-1_feature_10odorset,0.4482896188778541
7,3,020923_A62Nt_feature_10odorset,0.37882395382395384
8,4,020923_A60Nt_feature_10odorset,0.39975413475413474
9,4,020923_A60R1_feature_10odorset,0.18955128205128205
10,4,020923_A62-1_feature_10odorset,0.31831113331113337
11,4,020923_A62Nt_feature_10odorset,0.15628815628815632
12,5,020923_A60Nt_feature_10odorset,0.5384071484071484
13,5,020923_A60R1_feature_10odorset,0.17095238095238097
14,5,020923_A62-1_feature_10odorset,0.48138528138528136
15,5,020923_A62Nt_feature_10odorset,0.28095682095682095
16,6,020923_A60Nt_feature_10odorset,0.14715728715728718
17,6,020923_A60R1_feature_10odorset,0.2650441225441226
18,6,020923_A62-1_feature_10odorset,0.4033549783549784
19,6,020923_A62Nt_feature_10odorset,0.14366522366522366
