,odor,exp,f1_score
0,2,020923_A60Nt_featureafcondition_25cells,0.7374475524475524
1,2,020923_A60R1_featureafcondition_21cells,0.5329020979020979
2,2,020923_A62-1_featureafcondition_33cells,0.6171517371517372
3,2,020923_A62Nt_featureafcondition_33cells,0.719063714063714
4,3,020923_A60Nt_featureafcondition_25cells,0.853892773892774
5,3,020923_A60R1_featureafcondition_21cells,0.727979797979798
6,3,020923_A62-1_featureafcondition_33cells,0.8853030303030304
7,3,020923_A62Nt_featureafcondition_33cells,0.7077272727272728
8,4,020923_A60Nt_featureafcondition_25cells,0.3606637806637807
9,4,020923_A60R1_featureafcondition_21cells,0.6304151404151404
10,4,020923_A62-1_featureafcondition_33cells,0.5106648906648907
11,4,020923_A62Nt_featureafcondition_33cells,0.30371794871794877
12,5,020923_A60Nt_featureafcondition_25cells,0.562144522144522
13,5,020923_A60R1_featureafcondition_21cells,0.6336796536796536
14,5,020923_A62-1_featureafcondition_33cells,0.29134920634920636
15,5,020923_A62Nt_featureafcondition_33cells,0.38681041181041176
