,odor,exp,f1_score
0,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.5724009324009324
1,2,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.616053946053946
2,2,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.8214646464646466
3,2,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.738989898989899
4,2,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.5343867243867244
5,2,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.35442110177404296
6,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.7613852813852814
7,3,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.7777777777777778
8,3,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.8509867909867911
9,3,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.625021645021645
10,3,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.5048984348984349
11,3,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.4868181818181818
12,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.4808802308802308
13,4,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.33746031746031746
14,4,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.3478787878787879
15,4,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.5450197025197026
16,4,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.14786435786435786
17,4,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.4180808080808081
18,5,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.4136111111111111
19,5,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.3795881895881896
20,5,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.4409090909090909
21,5,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.518888888888889
22,5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.577988677988678
23,5,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.22106060606060604
