,odor,exp,f1_score
0,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.5724009324009324
1,2,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.616053946053946
2,2,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.8214646464646466
3,2,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.738989898989899
4,2,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,0.6165367965367965
5,2,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.3201681651681652
6,2,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.6694030969030969
7,2,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.33684704184704184
8,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.7613852813852814
9,3,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.7777777777777778
10,3,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.8509867909867911
11,3,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.625021645021645
12,3,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,0.1327922077922078
13,3,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.1631013431013431
14,3,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.5151082251082251
15,3,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.5898840048840048
16,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.4808802308802308
17,4,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.33746031746031746
18,4,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.3478787878787879
19,4,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.5450197025197026
20,4,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,0.2874389499389499
21,4,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.44779942279942275
22,4,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.24426129426129428
23,4,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.5075757575757576
24,5,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.4136111111111111
25,5,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.3795881895881896
26,5,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.4409090909090909
27,5,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.518888888888889
28,5,102023_A94Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,0.27124522536287243
29,5,102023_A94R1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.22160173160173163
30,5,102723_A94Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.5355477855477855
31,5,102723_A94R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.40179598179598186
