,odor,exp,f1_score
0,2,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,0.17023809523809524
1,2,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.6725
2,2,060223_A75L1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.2442929292929293
3,2,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.7452347652347652
4,2,100223_A88R1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.6898989898989899
5,2,100223_A89Nt_tracesfeature_odorbfcondition_3secondafodoronset,0.6084792984792984
6,2,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.8045454545454545
7,2,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.7625685425685427
8,3,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,0.20943528693528696
9,3,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.8102525252525252
10,3,060223_A75L1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.17503607503607502
11,3,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.7087590187590187
12,3,100223_A88R1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.28032467532467537
13,3,100223_A89Nt_tracesfeature_odorbfcondition_3secondafodoronset,0.3243795093795094
14,3,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.8051515151515151
15,3,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.7392607392607393
16,4,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,0.30828282828282827
17,4,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.6266699966699967
18,4,060223_A75L1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.203982683982684
19,4,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.45389610389610385
20,4,100223_A88R1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.41822566322566324
21,4,100223_A89Nt_tracesfeature_odorbfcondition_3secondafodoronset,0.28599567099567097
22,4,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.3915295815295815
23,4,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.5393506493506494
24,5,033023_A66Nt_tracesfeature_odorbfcondition_3SECAFODORONSET,0.15579365079365082
25,5,040723_A66Nt_tracesfeature_odorafcondition_3SECAFODORONSET,0.5262765012765012
26,5,060223_A75L1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.3447663447663448
27,5,061523_A75L1_tracesfeature_odorafcondition_3SECAFODORONSET,0.37548285048285046
28,5,100223_A88R1_tracesfeature_odorbfcondition_3SECAFODORONSET,0.19357586857586856
29,5,100223_A89Nt_tracesfeature_odorbfcondition_3secondafodoronset,0.28083694083694083
30,5,100923_A88R1_tracesfeature_odorafcondition_3SECAFODORONSET,0.43613275613275615
31,5,100923_A89Nt_tracesfeature_odorafcondition_25cells_3secafodoronset,0.4355772005772006
