,odor,exp,f1_score
0,2,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.5375541125541126
1,2,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.03666666666666667
2,2,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.29859307359307363
3,2,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.11689976689976692
4,2,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.9105555555555556
5,2,121923_tracesfeature_10odorset_3SECAFODORONSET,0.8604256854256853
6,3,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.20302880126409537
7,3,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.13327985739750448
8,3,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.2797860962566845
9,3,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.2471248196248196
10,3,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.15134920634920637
11,3,121923_tracesfeature_10odorset_3SECAFODORONSET,0.5198717948717949
12,4,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.22419635919635922
13,4,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.19936507936507938
14,4,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.25597707847707846
15,4,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.12121212121212122
16,4,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.1568925518925519
17,4,121923_tracesfeature_10odorset_3SECAFODORONSET,0.43542735042735037
18,5,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.32147654976602347
19,5,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.22054334554334556
20,5,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.10912698412698414
21,5,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.2461660561660562
22,5,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.2312121212121212
23,5,121923_tracesfeature_10odorset_3SECAFODORONSET,0.41431346431346433
24,6,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.20517316017316017
25,6,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.3342857142857143
26,6,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.22332112332112333
27,6,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.04327985739750445
28,6,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.496012876012876
29,6,121923_tracesfeature_10odorset_3SECAFODORONSET,0.4111327561327561
30,7,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.0
31,7,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.22624542124542124
32,7,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.3536091686091686
33,7,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.18608776844070962
34,7,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.277936507936508
35,7,121923_tracesfeature_10odorset_3SECAFODORONSET,0.3433061383061383
36,8,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.11816239316239316
37,8,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.29808080808080806
38,8,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.11205128205128205
39,8,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.18412698412698414
40,8,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.18013431013431014
41,8,121923_tracesfeature_10odorset_3SECAFODORONSET,0.22552614052614053
42,9,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.31932900432900435
43,9,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.2976811458235607
44,9,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.11269841269841271
45,9,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.10937950937950938
46,9,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.17021367521367523
47,9,121923_tracesfeature_10odorset_3SECAFODORONSET,0.32857142857142857
48,12,020923_A60Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.21578144078144082
49,12,020923_A60R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.2563492063492063
50,12,020923_A62-1_tracesfeature_10odorset_3SECAFODORONSET_1,0.10826118326118325
51,12,020923_A62Nt_tracesfeature_10odorset_3SECAFODORONSET_1,0.3537851037851038
52,12,121923_A88R1_tracesfeature_10odorset_3SECAFODORONSET_1,0.5602695017400899
53,12,121923_tracesfeature_10odorset_3SECAFODORONSET,0.34970562770562774
