,odor,exp,f1_score
0,2,033023_A65Nt_feature_bfcondition_5 odors,0.34948051948051945
1,2,040723_A66Nt_feature_bfcondition copy,0.3254256854256854
2,2,060223_A75L1_feature_bfcondition copy,0.32301587301587303
3,2,072123__A80R1_feature_odorbfcondition,0.20341991341991345
4,2,072523_A80L1_bfcondition_feature_25cells copy,0.43074314574314576
5,3,033023_A65Nt_feature_bfcondition_5 odors,0.3636807636807637
6,3,040723_A66Nt_feature_bfcondition copy,0.2494805194805195
7,3,060223_A75L1_feature_bfcondition copy,0.2538278388278389
8,3,072123__A80R1_feature_odorbfcondition,0.11555555555555556
9,3,072523_A80L1_bfcondition_feature_25cells copy,0.2957575757575758
10,4,033023_A65Nt_feature_bfcondition_5 odors,0.22010101010101008
11,4,040723_A66Nt_feature_bfcondition copy,0.5011510711510712
12,4,060223_A75L1_feature_bfcondition copy,0.33835081585081583
13,4,072123__A80R1_feature_odorbfcondition,0.3947807747807748
14,4,072523_A80L1_bfcondition_feature_25cells copy,0.45965811965811965
15,5,033023_A65Nt_feature_bfcondition_5 odors,0.1948118548118548
16,5,040723_A66Nt_feature_bfcondition copy,0.42561771561771566
17,5,060223_A75L1_feature_bfcondition copy,0.20505938505938506
18,5,072123__A80R1_feature_odorbfcondition,0.17581196581196584
19,5,072523_A80L1_bfcondition_feature_25cells copy,0.47501831501831504
