animal,comp,condition,accuracy
A103R,"Heptanol
Octanol",af,0.8
A103R,"Heptanol
Octanol",bf,0.48999999999999994
A103R,"Hexanol
Heptanol",af,0.82
A103R,"Hexanol
Heptanol",bf,0.53
A103R,"Hexanol
Octanol",af,0.9
A103R,"Hexanol
Octanol",bf,0.6799999999999999
A103R,"Pentanol
Heptanol",af,0.8300000000000001
A103R,"Pentanol
Heptanol",bf,0.64
A103R,"Pentanol
Hexanol",af,0.82
A103R,"Pentanol
Hexanol",bf,0.53
A103R,"Pentanol
Octanol",af,0.85
A103R,"Pentanol
Octanol",bf,0.6100000000000001
A137N,"Heptanol
Octanol",af,0.77
A137N,"Heptanol
Octanol",bf,0.6599999999999999
A137N,"Hexanol
Heptanol",af,0.64
A137N,"Hexanol
Heptanol",bf,0.6
A137N,"Hexanol
Octanol",af,0.78
A137N,"Hexanol
Octanol",bf,0.45999999999999996
A137N,"Pentanol
Heptanol",af,0.9
A137N,"Pentanol
Heptanol",bf,0.63
A137N,"Pentanol
Hexanol",af,0.8800000000000001
A137N,"Pentanol
Hexanol",bf,0.5399999999999999
A137N,"Pentanol
Octanol",af,0.79
A137N,"Pentanol
Octanol",bf,0.6
A66Nt,"Heptanol
Octanol",af,0.62
A66Nt,"Heptanol
Octanol",bf,0.76
A66Nt,"Hexanol
Heptanol",af,0.76
A66Nt,"Hexanol
Heptanol",bf,0.77
A66Nt,"Hexanol
Octanol",af,0.8300000000000001
A66Nt,"Hexanol
Octanol",bf,0.52
A66Nt,"Pentanol
Heptanol",af,0.8400000000000001
A66Nt,"Pentanol
Heptanol",bf,0.76
A66Nt,"Pentanol
Hexanol",af,0.8099999999999999
A66Nt,"Pentanol
Hexanol",bf,0.52
A66Nt,"Pentanol
Octanol",af,0.58
A66Nt,"Pentanol
Octanol",bf,0.54
A75L1,"Heptanol
Octanol",af,0.5700000000000001
A75L1,"Heptanol
Octanol",bf,0.53
A75L1,"Hexanol
Heptanol",af,0.75
A75L1,"Hexanol
Heptanol",bf,0.31
A75L1,"Hexanol
Octanol",af,0.8099999999999999
A75L1,"Hexanol
Octanol",bf,0.36
A75L1,"Pentanol
Heptanol",af,0.67
A75L1,"Pentanol
Heptanol",bf,0.53
A75L1,"Pentanol
Hexanol",af,0.89
A75L1,"Pentanol
Hexanol",bf,0.42000000000000004
A75L1,"Pentanol
Octanol",af,0.67
A75L1,"Pentanol
Octanol",bf,0.53
A88R1,"Heptanol
Octanol",af,0.45
A88R1,"Heptanol
Octanol",bf,0.59
A88R1,"Hexanol
Heptanol",af,0.8
A88R1,"Hexanol
Heptanol",bf,0.52
A88R1,"Hexanol
Octanol",af,0.8300000000000001
A88R1,"Hexanol
Octanol",bf,0.54
A88R1,"Pentanol
Heptanol",af,0.86
A88R1,"Pentanol
Heptanol",bf,0.8800000000000001
A88R1,"Pentanol
Hexanol",af,0.9099999999999999
A88R1,"Pentanol
Hexanol",bf,0.8099999999999999
A88R1,"Pentanol
Octanol",af,0.9
A88R1,"Pentanol
Octanol",bf,0.7
A89Nt,"Heptanol
Octanol",af,0.6199999999999999
A89Nt,"Heptanol
Octanol",bf,0.51
A89Nt,"Hexanol
Heptanol",af,0.79
A89Nt,"Hexanol
Heptanol",bf,0.49000000000000005
A89Nt,"Hexanol
Octanol",af,0.75
A89Nt,"Hexanol
Octanol",bf,0.44000000000000006
A89Nt,"Pentanol
Heptanol",af,0.8800000000000001
A89Nt,"Pentanol
Heptanol",bf,0.78
A89Nt,"Pentanol
Hexanol",af,0.86
A89Nt,"Pentanol
Hexanol",bf,0.6399999999999999
A89Nt,"Pentanol
Octanol",af,0.9199999999999999
A89Nt,"Pentanol
Octanol",bf,0.71
A94Nt,"Heptanol
Octanol",af,0.63
A94Nt,"Heptanol
Octanol",bf,0.4
A94Nt,"Hexanol
Heptanol",af,0.6599999999999999
A94Nt,"Hexanol
Heptanol",bf,0.5
A94Nt,"Hexanol
Octanol",af,0.85
A94Nt,"Hexanol
Octanol",bf,0.55
A94Nt,"Pentanol
Heptanol",af,0.76
A94Nt,"Pentanol
Heptanol",bf,0.82
A94Nt,"Pentanol
Hexanol",af,0.75
A94Nt,"Pentanol
Hexanol",bf,0.76
A94Nt,"Pentanol
Octanol",af,0.9
A94Nt,"Pentanol
Octanol",bf,0.71
A94R1,"Heptanol
Octanol",af,0.54
A94R1,"Heptanol
Octanol",bf,0.48
A94R1,"Hexanol
Heptanol",af,0.73
A94R1,"Hexanol
Heptanol",bf,0.5700000000000001
A94R1,"Hexanol
Octanol",af,0.75
A94R1,"Hexanol
Octanol",bf,0.55
A94R1,"Pentanol
Heptanol",af,0.78
A94R1,"Pentanol
Heptanol",bf,0.6799999999999999
A94R1,"Pentanol
Hexanol",af,0.5
A94R1,"Pentanol
Hexanol",bf,0.43
A94R1,"Pentanol
Octanol",af,0.5900000000000001
A94R1,"Pentanol
Octanol",bf,0.51
