animal,comp,accuracy
A60Nt,"2-ME
Eugenol",0.8
A60Nt,"2-ME
IPA",0.75
A60Nt,"2-ME
MSC",0.79
A60Nt,"Eugenol
IPA",0.79
A60Nt,"Eugenol
MSC",0.72
A60Nt,"MSC
IPA",0.79
A60R1,"2-ME
Eugenol",0.8
A60R1,"2-ME
IPA",0.85
A60R1,"2-ME
MSC",0.8099999999999999
A60R1,"Eugenol
IPA",0.8400000000000001
A60R1,"Eugenol
MSC",0.8800000000000001
A60R1,"MSC
IPA",0.85
A62-1,"2-ME
Eugenol",0.8400000000000001
A62-1,"2-ME
IPA",0.76
A62-1,"2-ME
MSC",0.77
A62-1,"Eugenol
IPA",0.76
A62-1,"Eugenol
MSC",0.73
A62-1,"MSC
IPA",0.8099999999999999
A62Nt,"2-ME
Eugenol",0.8400000000000001
A62Nt,"2-ME
IPA",0.86
A62Nt,"2-ME
MSC",0.78
A62Nt,"Eugenol
IPA",0.8
A62Nt,"Eugenol
MSC",0.6799999999999999
A62Nt,"MSC
IPA",0.78
A88R1,"2-ME
Eugenol",0.95
A88R1,"2-ME
IPA",0.8099999999999999
A88R1,"2-ME
MSC",0.97
A88R1,"Eugenol
IPA",0.95
A88R1,"Eugenol
MSC",0.9200000000000002
A88R1,"MSC
IPA",1.0
A89Nt,"2-ME
Eugenol",0.95
A89Nt,"2-ME
IPA",0.8699999999999999
A89Nt,"2-ME
MSC",0.86
A89Nt,"Eugenol
IPA",0.8700000000000001
A89Nt,"Eugenol
MSC",0.85
A89Nt,"MSC
IPA",0.85
