animal,comp,condition,accuracy
A103R,"Heptanol
Octanol",af,0.79
A103R,"Heptanol
Octanol",bf,0.43
A103R,"Hexanol
Heptanol",af,0.8400000000000001
A103R,"Hexanol
Heptanol",bf,0.62
A103R,"Hexanol
Octanol",af,0.9099999999999999
A103R,"Hexanol
Octanol",bf,0.6599999999999999
A103R,"Pentanol
Heptanol",af,0.77
A103R,"Pentanol
Heptanol",bf,0.58
A103R,"Pentanol
Hexanol",af,0.8
A103R,"Pentanol
Hexanol",bf,0.38
A103R,"Pentanol
Octanol",af,0.82
A103R,"Pentanol
Octanol",bf,0.5900000000000001
A137N,"Heptanol
Octanol",af,0.73
A137N,"Heptanol
Octanol",bf,0.61
A137N,"Hexanol
Heptanol",af,0.64
A137N,"Hexanol
Heptanol",bf,0.61
A137N,"Hexanol
Octanol",af,0.8
A137N,"Hexanol
Octanol",bf,0.45999999999999996
A137N,"Pentanol
Heptanol",af,0.85
A137N,"Pentanol
Heptanol",bf,0.6
A137N,"Pentanol
Hexanol",af,0.86
A137N,"Pentanol
Hexanol",bf,0.5700000000000001
A137N,"Pentanol
Octanol",af,0.6599999999999999
A137N,"Pentanol
Octanol",bf,0.55
A66Nt,"Heptanol
Octanol",af,0.61
A66Nt,"Heptanol
Octanol",bf,0.78
A66Nt,"Hexanol
Heptanol",af,0.6599999999999999
A66Nt,"Hexanol
Heptanol",bf,0.77
A66Nt,"Hexanol
Octanol",af,0.8
A66Nt,"Hexanol
Octanol",bf,0.5
A66Nt,"Pentanol
Heptanol",af,0.79
A66Nt,"Pentanol
Heptanol",bf,0.6599999999999999
A66Nt,"Pentanol
Hexanol",af,0.8
A66Nt,"Pentanol
Hexanol",bf,0.5599999999999999
A66Nt,"Pentanol
Octanol",af,0.61
A66Nt,"Pentanol
Octanol",bf,0.57
A75L1,"Heptanol
Octanol",af,0.58
A75L1,"Heptanol
Octanol",bf,0.5
A75L1,"Hexanol
Heptanol",af,0.75
A75L1,"Hexanol
Heptanol",bf,0.27
A75L1,"Hexanol
Octanol",af,0.85
A75L1,"Hexanol
Octanol",bf,0.42000000000000004
A75L1,"Pentanol
Heptanol",af,0.65
A75L1,"Pentanol
Heptanol",bf,0.44000000000000006
A75L1,"Pentanol
Hexanol",af,0.9
A75L1,"Pentanol
Hexanol",bf,0.45999999999999996
A75L1,"Pentanol
Octanol",af,0.5599999999999999
A75L1,"Pentanol
Octanol",bf,0.51
A88R1,"Heptanol
Octanol",af,0.48
A88R1,"Heptanol
Octanol",bf,0.5599999999999999
A88R1,"Hexanol
Heptanol",af,0.74
A88R1,"Hexanol
Heptanol",bf,0.5
A88R1,"Hexanol
Octanol",af,0.78
A88R1,"Hexanol
Octanol",bf,0.52
A88R1,"Pentanol
Heptanol",af,0.89
A88R1,"Pentanol
Heptanol",bf,0.85
A88R1,"Pentanol
Hexanol",af,0.9199999999999999
A88R1,"Pentanol
Hexanol",bf,0.75
A88R1,"Pentanol
Octanol",af,0.8699999999999999
A88R1,"Pentanol
Octanol",bf,0.7
A89Nt,"Heptanol
Octanol",af,0.61
A89Nt,"Heptanol
Octanol",bf,0.48
A89Nt,"Hexanol
Heptanol",af,0.72
A89Nt,"Hexanol
Heptanol",bf,0.42000000000000004
A89Nt,"Hexanol
Octanol",af,0.75
A89Nt,"Hexanol
Octanol",bf,0.48
A89Nt,"Pentanol
Heptanol",af,0.86
A89Nt,"Pentanol
Heptanol",bf,0.8099999999999999
A89Nt,"Pentanol
Hexanol",af,0.8300000000000001
A89Nt,"Pentanol
Hexanol",bf,0.6599999999999999
A89Nt,"Pentanol
Octanol",af,0.9400000000000001
A89Nt,"Pentanol
Octanol",bf,0.67
A94Nt,"Heptanol
Octanol",af,0.61
A94Nt,"Heptanol
Octanol",bf,0.42000000000000004
A94Nt,"Hexanol
Heptanol",af,0.71
A94Nt,"Hexanol
Heptanol",bf,0.47000000000000003
A94Nt,"Hexanol
Octanol",af,0.79
A94Nt,"Hexanol
Octanol",bf,0.52
A94Nt,"Pentanol
Heptanol",af,0.8
A94Nt,"Pentanol
Heptanol",bf,0.8099999999999999
A94Nt,"Pentanol
Hexanol",af,0.71
A94Nt,"Pentanol
Hexanol",bf,0.77
A94Nt,"Pentanol
Octanol",af,0.89
A94Nt,"Pentanol
Octanol",bf,0.74
A94R1,"Heptanol
Octanol",af,0.6
A94R1,"Heptanol
Octanol",bf,0.48
A94R1,"Hexanol
Heptanol",af,0.71
A94R1,"Hexanol
Heptanol",bf,0.65
A94R1,"Hexanol
Octanol",af,0.71
A94R1,"Hexanol
Octanol",bf,0.6799999999999999
A94R1,"Pentanol
Heptanol",af,0.8099999999999999
A94R1,"Pentanol
Heptanol",bf,0.73
A94R1,"Pentanol
Hexanol",af,0.5700000000000001
A94R1,"Pentanol
Hexanol",bf,0.44000000000000006
A94R1,"Pentanol
Octanol",af,0.61
A94R1,"Pentanol
Octanol",bf,0.53
